killers	56	1949	9093	4.11	('all', 107)	('let_go', 28)	('kill_now_kill', 21)
fates-warning	61	2069	7365	5.38	('all', 71)	("let's_straighten", 26)	('bleed_into_nothing', 14)
scorpions	205	2701	27472	3.86	('love', 432)	('lyricsklaus_meine', 95)	('na_na_na', 62)
bride	86	2467	10401	4.18	('what', 126)	('what_what', 26)	('what_what_what', 18)
wasp	70	1803	8930	4.01	('all', 159)	('hey_hey', 42)	('no_no_no', 25)
green-day	144	2769	17261	4.09	('all', 256)	('are_are', 28)	('all_wound_up', 24)
mercyful-fate	80	1830	10566	4.63	('solo', 119)	('solo_shermann', 41)	('by_king_diamond', 14)
bruce-hornsby	49	1576	8431	4.82	('out', 108)	('b_r', 46)	('b_r_hornsby', 28)
underworld	55	1789	8025	4.09	('are', 76)	('she_said', 43)	('were_going_into', 38)
the-church	152	3986	16980	4.65	('all', 150)	('dont_know', 28)	('take_back_take', 12)
alice-in-chains	69	1688	7244	3.93	('so', 111)	('suffragette_city', 33)	('lip_lock_rock', 23)
robbie-williams	147	3625	25061	4.13	('so', 286)	('get_get', 58)	('get_get_get', 43)
pj-harvey	121	1768	12211	3.41	('he', 151)	('all_there', 34)	('go_go_go', 22)
helloween	71	2041	9965	3.93	('will', 187)	('going_down', 24)	('sun_going_down', 20)
carcass	33	2360	5104	4.14	('as', 85)	('dont_want', 26)	('rotting_keep_hoping', 14)
seven-mary-three	33	1124	3699	4.22	('she', 75)	('no_no', 13)	('no_no_no', 10)
black-sabbath	64	1602	7408	4.99	('all', 89)	('oh_yeah', 23)	('woman_dont_play', 10)
morrissey	94	2006	11032	3.29	('oh', 382)	('la_la', 60)	('la_la_la', 43)
blues-traveler	68	2294	13705	4.58	('but', 178)	('john_popper', 56)	('lyrics_john_popper', 47)
manic-street-preachers	135	3427	17122	4.23	('so', 238)	('bah_bah', 80)	('bah_bah_bah', 77)
alice-cooper	90	2566	12921	4.06	('dont', 158)	('shut_up', 45)	('up_shut_up', 36)
tonic	36	856	4415	3.82	('love', 88)	('do_know', 15)	('if_ever_need', 14)
inxs	120	1901	13009	3.34	('all', 270)	('oh_oh', 65)	('oh_oh_oh', 46)
counting-crows	146	2861	22703	4.89	('all', 365)	('la_la', 41)	('la_la_la', 37)
belly	41	2132	7202	4.29	('this', 86)	('oh_oh', 34)	('oh_oh_oh', 20)
elliott-smith	99	2148	10639	4.62	('all', 132)	('know_what', 21)	('seen_how_things', 16)
billy-idol	76	2033	14366	3.67	('yeah', 297)	('yeah_yeah', 66)	('yeah_yeah_yeah', 41)
mazzy-star	33	738	2689	3.48	('just', 45)	('come_down', 12)	('light_come_down', 9)
the-smashing-pumpkins	196	2972	22140	3.73	('love', 347)	('yeah_yeah', 104)	('yeah_yeah_yeah', 92)
impellitteri	46	1279	5899	4.3	('know', 81)	('dont_know', 23)	('master_master_disguise', 10)
wilco	76	1681	7559	4.09	('all', 96)	('every_little', 25)	('every_little_thing', 25)
symphony-x	49	1746	6085	6.37	('from', 78)	('romeo_pinnela', 24)	('romeo_pinnela_miller', 20)
tim-mcgraw	120	2539	18794	4.94	('just', 249)	('dont_know', 47)	('dont_know_why', 20)
3-doors-down	34	822	5743	4.64	('this', 132)	('so_need', 15)	('away_from_sun', 10)
billy-ray-cyrus	112	2480	15913	5.53	('love', 199)	('la_la', 72)	('la_la_la', 64)
queensryche	81	2215	10938	5.06	('all', 110)	('jet_city', 20)	('jet_city_woman', 18)
nocturnal-rites	38	1058	3277	4.25	('will', 64)	('they_will', 7)	('side_by_side', 5)
matchbox-20	45	1144	8169	4.47	('dont', 163)	('na_na', 36)	('na_na_na', 32)
zz-top	96	2003	9694	5.02	('down', 132)	('down_easy', 31)	('mellow_down_easy', 31)
sara-evans	61	1499	8485	4.55	('just', 108)	('repeat_chorus', 28)	("i've_got_tiger", 16)
rod-stewart	274	4470	41590	4.54	('love', 610)	('long_time', 57)	('when_mans_love', 36)
george-michael	84	2007	14666	4.27	('dont', 228)	('dont_know', 36)	('heaven_help_heaven', 19)
reba-mcentire	267	3806	31231	4.61	('love', 430)	('repeat_chorus', 172)	('there_aint_no', 22)
toby-keith	136	3026	23571	5.34	('she', 308)	('la_la', 76)	('la_la_la', 68)
fight	97	3086	15970	4.28	('love', 202)	('dont_know', 35)	('aint_good_enough', 19)
jeff-buckley	56	1836	7736	4.73	('all', 99)	('run_run', 18)	('fare_thee_well', 16)
chely-wright	68	1953	10530	4.8	('but', 167)	("it's_not", 25)	('lady_alligator_purse', 9)
lisa-loeb	49	1357	6712	4.73	('dont', 97)	('some_things', 20)	('wanted_bring_up', 14)
new-order	100	1740	13240	4.25	('this', 169)	("you've_got", 32)	('this_world_gone', 18)
kiss	120	3309	19377	4.41	('love', 299)	('uh_uh', 62)	('uh_uh_uh', 44)
l7	66	1378	4699	3.57	('dont', 55)	('bad_things', 27)	('one_more_thing', 26)
semisonic	52	1341	6210	4.38	('all', 93)	('bye_bye', 20)	('oh_oh_oh', 16)
concrete-blonde	44	1311	5215	6.2	('all', 97)	('close_home', 33)	('home_close_home', 30)
shania-twain	82	1673	13593	4.2	('love', 253)	('there_aint', 66)	('there_aint_no', 55)
pink-floyd	238	2837	17385	4.01	('all', 246)	('would_so', 37)	('would_so_nice', 37)
mick-jagger	43	1511	7220	4.41	('dont', 112)	('high_high', 36)	('high_high_high', 30)
rancid	107	2960	13764	5.0	('no', 187)	('john_brown', 38)	('john_brown_john', 31)
nirvana	119	2176	10602	4.15	('dont', 195)	('dive_dive', 38)	('dive_dive_dive', 36)
sinead-o-connor	82	2047	10539	3.92	('all', 166)	("put'em_put'em", 92)	("put'em_put'em_put'em", 88)
john-michael-montgomery	54	1604	8689	4.59	('love', 132)	('kick_up', 22)	('baby_aint_around', 14)
rem	241	5004	32165	4.65	("it's", 348)	('la_la', 96)	('la_la_la', 86)
barenaked-ladies	164	4135	26156	4.61	("it's", 301)	('la_la', 88)	('la_la_la', 80)
vince-gill	105	1679	10067	4.71	('love', 177)	('repeat_chorus', 26)	('girl_know_where', 10)
sheryl-crow	164	3422	23617	4.21	('all', 294)	('na_na', 248)	('na_na_na', 240)
trace-adkins	81	2295	13075	4.79	('but', 167)	('aint_no', 38)	('batter_batter_swing', 27)
judas-priest	119	2800	12994	4.04	('all', 168)	('breaking_law', 25)	('law_breaking_law', 22)
trapt	35	996	5230	4.73	('know', 105)	('she_goes', 24)	('do_rush_slow', 15)
bryan-white	40	1161	4635	4.5	('love', 72)	('repeat_chorus', 18)	('supposed_love_anymore', 5)
all-saints	46	1437	12395	4.62	('know', 246)	('nat_nic', 83)	('cant_get_enough', 64)
the-b-52-s	32	1279	4679	4.42	('oh', 57)	('ha_ha', 42)	('ha_ha_ha', 35)
garbage	71	1642	9890	3.88	('dont', 138)	('why_do', 33)	('why_do_love', 32)
fiona-apple	43	1644	6926	4.23	('but', 104)	('hot_knife', 32)	('knife_hot_knife', 16)
they-might-be-giants	152	3172	21506	4.95	('dont', 231)	('x_x', 99)	('s_e_x', 61)
corrosion-of-conformity	55	1693	5410	4.4	('no', 86)	('no_more', 10)	('are_primitive_times', 9)
guns-n-roses	92	2466	16488	4.06	('dont', 291)	('oh_oh', 96)	('oh_oh_oh', 73)
veruca-salt	73	1520	6901	3.5	("you're", 114)	('dont_wanna', 25)	('think_just_might', 14)
dixie-chicks	60	1709	9073	4.37	('love', 131)	('long_time', 24)	("it's_so_hard", 15)
