
\data\
ngram 1=2301

\1-grams:
-3.587711	bite
-3.587711	bitter
-3.888741	bittern
-3.587711	black
-3.888741	blades
-3.888741	blazing
-3.41162	blessed
-3.41162	blessing
-3.888741	blessèd
-3.888741	blind
-3.587711	blond
-3.888741	bloodred
-3.587711	blows
-3.888741	blue
-3.888741	board
-3.286681	body
-3.888741	bone
-3.888741	bones
-3.888741	book
-3.888741	booming
-3.587711	bore
-3.587711	born
-3.286681	both
-3.888741	bother
-3.888741	bought
-3.888741	bowels
-3.888741	bower
-3.888741	bowing
-3.888741	box
-3.888741	boy's
-3.888741	bread
-3.41162	breast
-3.41162	bred
-3.286681	bring
-3.888741	broken
-3.888741	brook
-3.888741	brothel
-2.658292	brother
-3.888741	brothers
-3.888741	brothers'
-3.11059	brought
-3.888741	bruised
-3.888741	brush
-3.888741	buck
-3.888741	budding
-3.888741	built
-3.888741	bump
-3.888741	bundled
-3.888741	burn
-3.888741	burning
-3.888741	burrow
-3.587711	business
-2.344673	but
-3.888741	butcher
-3.41162	buy
-2.089401	by
-3.888741	cakes
-3.888741	calais
-3.888741	call
-3.189771	called
-3.888741	calling
-2.847348	came
-2.742613	can
-3.888741	candle
-3.888741	candles
-3.11059	cannot
-3.286681	cant
-3.41162	cape
-3.587711	capons
-3.888741	caraway
-3.11059	care
-3.587711	cared
-3.888741	carefree
-3.587711	careful
-3.41162	cares
-3.888741	carp
-3.587711	carried
-3.888741	carries
-3.587711	carrying
-3.587711	carved
-3.41162	carver
-3.888741	carvings
-3.41162	case
-3.888741	cases
-3.888741	cast
-3.41162	catch
-3.286681	caught
-3.888741	caused
-3.888741	cavort
-3.888741	cellar
-3.888741	certain
-3.888741	certainly
-3.888741	chair
-3.41162	chamber
-3.587711	change
-3.888741	chanted
-3.888741	chapel
-2.684621	chaplain
-3.587711	chaplains
-3.888741	charge
-3.888741	charges
-3.888741	charlatan
-3.888741	charm
-3.888741	chartrain
-3.888741	chatter
-3.587711	cheap
-3.587711	chest
-3.888741	chicken
-3.11059	child
-3.888741	chimed
-3.888741	chin
-3.888741	chisels
-3.587711	choose
-3.888741	chosen
-3.888741	christ
-3.41162	church
-3.888741	churl
-3.888741	cinnamon
-3.888741	citterns
-3.888741	city
-3.888741	clad
-3.888741	clamoring
-3.888741	clasped
-3.888741	class
-3.888741	clay
-3.888741	clear
-3.888741	clearly
-3.286681	clergy
-3.888741	clergyman
-3.888741	clergymen
-3.888741	cleric
-3.888741	clerical
-3.888741	clerics
-3.41162	clerk
-3.587711	clever
-3.888741	climb
-3.587711	cloak
-3.888741	cloaks
-3.587711	cloister
-3.11059	close
-3.888741	closer
-3.888741	closes
-3.41162	cloth
-3.888741	clothed
-2.888741	clothes
-3.888741	clothing
-3.888741	coarse
-3.189771	coat
-3.587711	cock
-3.888741	coffers
-3.888741	coins
-3.888741	collateral
-2.633468	come
-3.888741	comely
-3.587711	comes
-3.888741	comforted
-3.888741	comfy
-3.41162	command
-3.888741	commanded
-3.888741	commands
-3.888741	comments
-3.888741	common
-3.888741	commoners
-3.587711	community
-3.888741	companion
-3.587711	company
-3.888741	compare
-3.888741	compelled
-3.888741	competence
-3.888741	complaint
-3.587711	completely
-3.888741	comply
-3.888741	con
-3.888741	conceal
-3.888741	concealed
-3.888741	concerning
-3.888741	conduct
-3.888741	confers
-3.888741	confess
-3.587711	confession
-3.888741	confidence
-3.888741	conflagration
-3.888741	confrere
-3.587711	confreres
-3.888741	confusedly
-3.888741	congratulations
-3.888741	conniving
-3.888741	consecrated
-3.888741	consent
-3.888741	consider
-3.587711	consideration
-3.888741	contented
-3.888741	contents
-3.888741	contents—
-3.888741	continued
-3.888741	contradict
-3.888741	contradiction
-3.888741	contrariwise
-3.888741	contrary
-3.888741	contrition
-3.587711	converted
-3.41162	convinced
-3.888741	cools
-3.888741	cord
-3.888741	cordelier
-3.888741	corn
-3.888741	corrected
-3.587711	costly
-2.658292	could
-3.888741	couldnt
-3.888741	counsel
-3.888741	count
-3.888741	counted
-3.888741	countermands
-3.888741	courier
-3.286681	court
-3.888741	coustenz
-3.888741	cover
-3.888741	cowed
-3.286681	created
-3.587711	creature
-3.587711	creatures
-3.888741	credo
-3.888741	crevice
-3.587711	cried
-3.888741	crier
-3.587711	cries
-3.587711	cross
-3.888741	crowbar
-3.888741	crowed
-3.888741	crown
-3.587711	crucified
-3.888741	crucifige
-3.587711	crucifix
-3.888741	crucifixes
-3.888741	cruelly
-3.888741	crusty
-3.888741	cry
-3.888741	crying
-3.888741	cumin
-3.888741	cunning
-3.11059	cunt
-3.888741	cunts
-3.888741	cup
-3.888741	curled
-3.888741	currency
-3.888741	curtain
-3.888741	curtained
-3.286681	curtains
-3.888741	cushions
-3.286681	cut
-3.888741	cuts
-3.888741	cutting
-3.888741	cwm
